Step,Traffic_Rate,Latency_us,Inference_Latency_us,Is_Merged,Energy_Efficiency,Reward
63,1221.8731338145312,100.0,0.1370000006772898,1,101.82276115121094,-3e-05
64,1362.0652625146631,100.0,0.1330000003463283,1,113.5054385428886,-3e-05
65,1067.0663943431905,100.0,0.14299999406830466,1,88.92219952859921,-3e-05
66,1212.5552742984587,100.0,0.1390000079481979,1,101.04627285820489,-3e-05
67,1006.1643707723844,100.0,0.13599999704183574,1,83.8470308976987,-3e-05
68,1022.7264565451387,100.0,0.14100000100825127,1,85.22720471209489,-3e-05
69,1126.0679754039727,100.0,0.13999999737279722,1,93.83899795033106,-3e-05
70,1165.5066533433944,100.0,0.13599999704183574,1,97.12555444528287,-3e-05
71,1266.2624492893046,100.0,0.1439999977037587,1,105.52187077410872,-3e-05
72,1340.320237865312,100.0,0.13799999010188913,1,111.69335315544267,-3e-05
